Questions,Answers,Patterns,Tags
What are intermediate risk factors for cardiovascular diseases?,Intermediate risk factors include raised blood pressure blood glucose blood lipids and overweight.,What are intermediate CVD risks? Factors indicating heart disease risk?,intermediate_risks
How does hypertension relate to cardiovascular diseases?,Hypertension is a significant physiological risk factor for developing CVDs.,How does high blood pressure affect heart disease? Relation between hypertension and CVDs?,hypertension_risk
What are the symptoms of rheumatic heart disease?,Symptoms include shortness of breath fatigue irregular heartbeats chest pain and fainting.,Signs of rheumatic heart disease? What indicates rheumatic heart disease?,rheumatic_symptoms
How can cardiovascular disease treatment be improved globally?,Improving health system capacity and ensuring access to essential medicines and technologies are key.,Ways to enhance global CVD treatment? How to improve heart disease care worldwide?,treatment_improvement
What is the role of primary health care in managing CVDs?,Primary health care facilities can measure intermediate risk factors and provide essential treatments.,How does primary care help with CVDs? Primary health care's role in heart disease?,primary_healthcare
What are the behavioural risk factors for heart disease?,Unhealthy diet physical inactivity tobacco use and harmful use of alcohol are key risk factors.,Behavioral risks for heart disease? What lifestyle factors increase CVD risk?,behavioral_risks
How can health policies reduce the risk of cardiovascular diseases?,Health policies should promote healthy choices improve air quality and reduce pollution.,Policies to lower heart disease risk? How can policies help prevent CVDs?,health_policies
How often does someone in the United States have a heart attack?,Someone in the United States has a heart attack every 40 seconds.,Frequency of heart attacks in the US? How many heart attacks occur in the US?,heart_attack_frequency
What percentage of heart disease deaths occurred in adults under 65 in 2021?,In 2021 about 20% of deaths from coronary artery disease occurred in adults under 65.,Heart disease deaths under 65? What percentage of young adults die from heart disease?,deaths_under_65
How many people died from heart disease in the US in 2021?,About 695,000 people died from heart disease in the United States in 2021.,US heart disease deaths 2021? Number of heart disease deaths in 2021?,deaths_2021
What is the annual cost of heart disease in the US?,Heart disease costs about $239.9 billion each year in the United States.,Annual cost of heart disease? How much does heart disease cost the US?,annual_cost
What is the most common type of heart disease?,Coronary heart disease is the most common type of heart disease.,Most common heart disease? Which heart disease is most prevalent?,common_type
How many first heart attacks occur annually in the US?,About 605,000 first heart attacks occur annually in the United States.,First heart attack statistics? Annual first heart attacks in the US?,first_attacks
What percentage of heart attacks are silent?,About 20% of heart attacks are silent where damage is done but the person is unaware.,Silent heart attack percentage? How common are silent heart attacks?,silent_attacks
Which racial or ethnic group has the highest percentage of heart disease deaths?,Black (Non-Hispanic) individuals have the highest percentage of heart disease deaths at 22.6%.,Highest heart disease deaths by race? Which ethnicity has most heart disease deaths?,ethnic_deaths
How does diabetes influence heart disease risk?,Diabetes is a significant risk factor for heart disease.,Impact of diabetes on heart disease? How does diabetes affect heart disease risk?,diabetes_risk
